sample_id,ordering,kendall_tau,t_peak_IL1,t_peak_IL12,t_peak_IL10
334,IL1<IL12<IL10,1.0,1.0,3.75,17.5
335,IL1<IL12<IL10,1.0,0.0,0.25,120.0
336,IL1<IL12<IL10,1.0,0.5,1.75,15.5
337,IL1<IL12<IL10,1.0,55.5,81.75,120.0
338,IL12<IL10<IL1,-0.33333333333333337,0.25,0.0,0.0
339,IL1<IL12<IL10,1.0,0.75,1.25,44.75
340,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,1.25
341,IL12<IL1<IL10,0.33333333333333337,1.0,0.75,120.0
343,IL1<IL12<IL10,1.0,0.5,0.5,1.5
344,IL1<IL12<IL10,1.0,0.25,1.5,51.5
345,IL12<IL1<IL10,0.33333333333333337,29.5,7.25,120.0
346,IL1<IL12<IL10,1.0,1.75,5.25,120.0
347,IL1<IL12<IL10,1.0,0.0,0.0,0.5
348,IL10<IL1<IL12,-0.33333333333333337,2.25,6.0,0.0
349,IL1<IL12<IL10,1.0,45.5,45.5,63.5
350,IL1<IL10<IL12,0.33333333333333337,2.25,120.0,5.25
351,IL1<IL12<IL10,1.0,0.25,0.25,120.0
352,IL10<IL12<IL1,-1.0,0.75,0.5,0.0
353,IL1<IL12<IL10,1.0,4.75,15.75,120.0
354,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,2.25
355,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
356,IL1<IL12<IL10,1.0,0.0,0.0,120.0
357,IL1<IL12<IL10,1.0,0.25,0.25,65.5
358,IL10<IL12<IL1,-1.0,0.5,0.25,0.0
359,IL1<IL10<IL12,0.33333333333333337,1.25,2.75,1.75
360,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,120.0
361,IL12<IL1<IL10,0.33333333333333337,1.5,1.25,4.5
362,IL1<IL12<IL10,1.0,0.0,0.0,0.5
363,IL1<IL12<IL10,1.0,0.25,0.25,120.0
364,IL1<IL12<IL10,1.0,0.25,0.25,1.0
365,IL1<IL12<IL10,1.0,10.25,54.25,120.0
366,IL10<IL1<IL12,-0.33333333333333337,2.5,2.5,1.75
367,IL1<IL12<IL10,1.0,0.25,0.5,6.25
368,IL10<IL12<IL1,-1.0,120.0,7.25,0.0
369,IL1<IL12<IL10,1.0,0.0,0.25,120.0
370,IL1<IL12<IL10,1.0,0.25,0.25,120.0
371,IL12<IL10<IL1,-0.33333333333333337,0.25,0.0,0.0
372,IL1<IL12<IL10,1.0,0.0,3.0,120.0
373,IL1<IL10<IL12,0.33333333333333337,0.25,0.5,0.25
374,IL1<IL12<IL10,1.0,2.0,2.0,120.0
375,IL1<IL10<IL12,0.33333333333333337,0.0,0.75,0.0
376,IL1<IL12<IL10,1.0,0.5,0.5,120.0
377,IL1<IL12<IL10,1.0,0.0,0.0,120.0
378,IL1<IL12<IL10,1.0,120.0,120.0,120.0
379,IL1<IL12<IL10,1.0,0.0,0.25,120.0
380,IL10<IL12<IL1,-1.0,8.5,7.75,2.25
381,IL12<IL1<IL10,0.33333333333333337,5.0,4.5,20.75
382,IL1<IL12<IL10,1.0,0.25,0.25,120.0
383,IL1<IL12<IL10,1.0,0.0,120.0,120.0
384,IL1<IL12<IL10,1.0,0.0,0.25,120.0
385,IL1<IL12<IL10,1.0,0.25,0.25,1.5
386,IL1<IL12<IL10,1.0,0.0,0.25,120.0
387,IL1<IL12<IL10,1.0,0.75,0.75,2.0
388,IL1<IL12<IL10,1.0,1.5,1.75,3.5
389,IL10<IL12<IL1,-1.0,16.0,11.25,0.0
390,IL1<IL12<IL10,1.0,0.0,0.25,120.0
391,IL1<IL12<IL10,1.0,0.0,0.5,23.0
392,IL10<IL1<IL12,-0.33333333333333337,2.0,2.5,0.0
393,IL1<IL12<IL10,1.0,10.5,14.25,29.0
394,IL1<IL12<IL10,1.0,0.25,0.25,120.0
395,IL1<IL12<IL10,1.0,120.0,120.0,120.0
396,IL1<IL12<IL10,1.0,0.25,0.75,3.5
397,IL1<IL12<IL10,1.0,2.25,2.5,24.0
398,IL1<IL12<IL10,1.0,120.0,120.0,120.0
399,IL12<IL1<IL10,0.33333333333333337,1.5,0.25,120.0
400,IL1<IL12<IL10,1.0,26.5,36.75,120.0
401,IL1<IL12<IL10,1.0,0.25,0.25,9.75
402,IL1<IL12<IL10,1.0,2.75,6.5,12.75
403,IL1<IL12<IL10,1.0,0.25,0.25,120.0
404,IL1<IL12<IL10,1.0,0.5,0.5,3.25
405,IL12<IL1<IL10,0.33333333333333337,0.75,0.25,120.0
406,IL1<IL12<IL10,1.0,0.75,5.5,120.0
407,IL1<IL12<IL10,1.0,0.0,0.0,45.25
408,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
409,IL1<IL12<IL10,1.0,4.25,4.25,5.5
410,IL1<IL12<IL10,1.0,0.0,0.25,120.0
411,IL12<IL1<IL10,0.33333333333333337,0.75,0.0,17.5
412,IL1<IL12<IL10,1.0,0.5,2.75,120.0
413,IL1<IL12<IL10,1.0,0.25,0.25,8.0
414,IL1<IL12<IL10,1.0,0.25,0.75,83.75
415,IL12<IL1<IL10,0.33333333333333337,0.75,0.5,120.0
416,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,2.0
417,IL1<IL12<IL10,1.0,0.25,0.25,120.0
418,IL12<IL10<IL1,-0.33333333333333337,0.25,0.0,0.0
419,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
420,IL12<IL10<IL1,-0.33333333333333337,0.25,0.0,0.0
421,IL1<IL12<IL10,1.0,0.5,2.75,9.25
422,IL1<IL12<IL10,1.0,0.25,0.25,3.75
423,IL1<IL10<IL12,0.33333333333333337,0.0,1.25,0.0
424,IL1<IL12<IL10,1.0,3.0,4.0,8.75
425,IL1<IL12<IL10,1.0,0.5,1.0,2.5
426,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,0.0
427,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,120.0
428,IL12<IL10<IL1,-0.33333333333333337,0.25,0.0,0.0
429,IL1<IL12<IL10,1.0,0.25,0.5,120.0
430,IL12<IL1<IL10,0.33333333333333337,0.5,0.0,120.0
431,IL1<IL12<IL10,1.0,1.0,1.25,2.75
432,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,25.25
433,IL1<IL12<IL10,1.0,0.0,0.0,120.0
434,IL1<IL12<IL10,1.0,120.0,120.0,120.0
435,IL1<IL12<IL10,1.0,0.25,0.25,6.5
436,IL10<IL12<IL1,-1.0,0.75,0.25,0.0
437,IL1<IL12<IL10,1.0,49.5,120.0,120.0
438,IL1<IL12<IL10,1.0,0.25,1.0,120.0
439,IL1<IL12<IL10,1.0,0.0,0.25,59.75
440,IL1<IL12<IL10,1.0,0.25,0.25,120.0
441,IL1<IL10<IL12,0.33333333333333337,2.25,8.75,3.75
442,IL10<IL12<IL1,-1.0,120.0,18.0,0.0
443,IL1<IL12<IL10,1.0,0.0,0.25,120.0
444,IL1<IL12<IL10,1.0,0.5,0.5,71.0
445,IL1<IL12<IL10,1.0,0.0,0.5,120.0
446,IL1<IL12<IL10,1.0,0.25,0.25,120.0
447,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,1.5
448,IL12<IL1<IL10,0.33333333333333337,1.5,0.5,120.0
449,IL1<IL12<IL10,1.0,18.0,120.0,120.0
450,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,0.75
451,IL1<IL12<IL10,1.0,0.25,0.5,38.0
452,IL1<IL12<IL10,1.0,0.75,0.75,11.0
453,IL1<IL12<IL10,1.0,0.0,0.0,120.0
454,IL12<IL1<IL10,0.33333333333333337,120.0,28.5,120.0
455,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,0.25
456,IL10<IL12<IL1,-1.0,2.25,0.5,0.0
457,IL1<IL12<IL10,1.0,120.0,120.0,120.0
458,IL1<IL12<IL10,1.0,0.75,4.75,62.75
459,IL1<IL10<IL12,0.33333333333333337,0.0,120.0,0.0
460,IL1<IL12<IL10,1.0,1.75,2.0,120.0
461,IL10<IL1<IL12,-0.33333333333333337,0.25,0.25,0.0
462,IL12<IL10<IL1,-0.33333333333333337,120.0,4.5,10.0
463,IL1<IL12<IL10,1.0,0.5,2.0,120.0
464,IL12<IL1<IL10,0.33333333333333337,4.25,3.25,16.75
465,IL1<IL10<IL12,0.33333333333333337,1.75,120.0,1.75
466,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,37.0
467,IL1<IL12<IL10,1.0,1.5,1.75,7.25
468,IL1<IL12<IL10,1.0,120.0,120.0,120.0
469,IL1<IL10<IL12,0.33333333333333337,0.0,2.0,0.0
470,IL1<IL12<IL10,1.0,0.25,0.25,120.0
471,IL1<IL12<IL10,1.0,0.75,1.75,120.0
472,IL1<IL12<IL10,1.0,0.25,0.25,120.0
473,IL1<IL12<IL10,1.0,0.25,0.25,120.0
474,IL1<IL12<IL10,1.0,0.25,0.25,120.0
475,IL1<IL10<IL12,0.33333333333333337,0.0,0.25,0.0
476,IL12<IL1<IL10,0.33333333333333337,3.5,0.0,3.75
477,IL1<IL12<IL10,1.0,0.5,1.25,9.0
478,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,1.5
479,IL1<IL12<IL10,1.0,0.25,0.5,120.0
480,IL1<IL12<IL10,1.0,0.0,120.0,120.0
481,IL12<IL1<IL10,0.33333333333333337,1.0,0.25,120.0
